id,value
knowledge.query.Average,891
knowledge.query.BinaryExpression,2893
knowledge.query.Comparison,5103
knowledge.query.CompositeExpression,3677
knowledge.query.Count,781
knowledge.query.DateUtil,4141
knowledge.query.Distinct,933
knowledge.query.Expression,5130
knowledge.query.ExpressionIterator,3617
knowledge.query.Fn,3240
knowledge.query.If,2732
knowledge.query.IsA,2039
knowledge.query.Literal,1214
knowledge.query.Match,3748
knowledge.query.Maximum,843
knowledge.query.methods,
knowledge.query.methods.add,593
knowledge.query.methods.and,330
knowledge.query.methods.average,287
knowledge.query.methods.count,277
knowledge.query.methods.distinct,292
knowledge.query.methods.div,595
knowledge.query.methods.eq,594
knowledge.query.methods.fn,460
knowledge.query.methods.gt,603
knowledge.query.methods.gte,625
knowledge.query.methods.iff,748
knowledge.query.methods.isa,461
knowledge.query.methods.lt,597
knowledge.query.methods.lte,619
knowledge.query.methods.max,283
knowledge.query.methods.min,283
knowledge.query.methods.mod,591
knowledge.query.methods.mul,603
knowledge.query.methods.neq,599
knowledge.query.methods.not,386
knowledge.query.methods.or,323
knowledge.query.methods.orderby,307
knowledge.query.methods.range,772
knowledge.query.methods.select,296
knowledge.query.methods.stddev,363
knowledge.query.methods.sub,600
knowledge.query.methods.sum,280
knowledge.query.methods.update,307
knowledge.query.methods.variance,335
knowledge.query.methods.where,299
knowledge.query.methods.xor,354
knowledge.query.methods._,264
knowledge.query.Minimum,843
knowledge.query.Not,1554
knowledge.query.Or,970
knowledge.query.Query,13896
knowledge.query.Range,1594
knowledge.query.StringUtil,4130
knowledge.query.Sum,791
knowledge.query.Variable,1124
knowledge.query.Variance,1876
knowledge.query.Xor,1101
knowledge.scale,
knowledge.scale.IScaleMap,2105
knowledge.scale.LinearScale,1316
knowledge.scale.LogScale,3151
knowledge.scale.OrdinalScale,3770
knowledge.scale.QuantileScale,2435
knowledge.scale.QuantitativeScale,4839
knowledge.scale.RootScale,1756
knowledge.scale.Scale,4268
knowledge.scale.ScaleType,1821
knowledge.scale.TimeScale,5833
knowledge.util,
knowledge.util.Arrays,8258
knowledge.util.Colors,10001
knowledge.util.Dates,8217
knowledge.util.Displays,12555
knowledge.util.Filter,2324
knowledge.util.Geometry,10993
knowledge.util.heap,
knowledge.util.heap.FibonacciHeap,9354
knowledge.util.heap.HeapNode,1233
knowledge.util.IEvaluable,335
knowledge.util.IPredicate,383
knowledge.util.IValueProxy,874
knowledge.util.math,
knowledge.util.math.DenseMatrix,3165
knowledge.util.math.IMatrix,2815
knowledge.util.math.SparseMatrix,3366
knowledge.util.Maths,17705
knowledge.util.Orientation,1486
knowledge.util.palette,
knowledge.util.palette.ColorPalette,6367
knowledge.util.palette.Palette,1229
knowledge.util.palette.ShapePalette,2059
knowledge.util.palette.SizePalette,2291
knowledge.util.Property,5559
knowledge.util.Shapes,19118
knowledge.util.Sort,6887
knowledge.util.Stats,6557
knowledge.util.Strings,22026
knowledge.vis,
knowledge.vis.axis,
knowledge.vis.axis.Axes,1302
knowledge.vis.axis.Axis,24593
knowledge.vis.axis.AxisGridLine,652
knowledge.vis.axis.AxisLabel,636
knowledge.vis.axis.CartesianAxes,6703
knowledge.vis.controls,
knowledge.vis.controls.AnchorControl,2138
knowledge.vis.controls.ClickControl,3824
knowledge.vis.controls.Control,1353
knowledge.vis.controls.ControlList,4665
knowledge.vis.controls.DragControl,2649
knowledge.vis.controls.ExpandControl,2832
knowledge.vis.controls.HoverControl,4896
knowledge.vis.controls.IControl,763
knowledge.vis.controls.PanZoomControl,5222
knowledge.vis.controls.SelectionControl,7862
knowledge.vis.controls.TooltipControl,8435
knowledge.vis.data,
knowledge.vis.data.Data,20544
knowledge.vis.data.DataList,19788
knowledge.vis.data.DataSprite,10349
knowledge.vis.data.EdgeSprite,3301
knowledge.vis.data.NodeSprite,19382
knowledge.vis.data.render,
knowledge.vis.data.render.ArrowType,698
knowledge.vis.data.render.EdgeRenderer,5569
knowledge.vis.data.render.IRenderer,353
knowledge.vis.data.render.ShapeRenderer,2247
knowledge.vis.data.ScaleBinding,11275
knowledge.vis.data.Tree,7147
knowledge.vis.data.TreeBuilder,9930
knowledge.vis.events,
knowledge.vis.events.DataEvent,2313
knowledge.vis.events.SelectionEvent,1880
knowledge.vis.events.TooltipEvent,1701
knowledge.vis.events.VisualizationEvent,1117
knowledge.vis.legend,
knowledge.vis.legend.Legend,20859
knowledge.vis.legend.LegendItem,4614
knowledge.vis.legend.LegendRange,10530
knowledge.vis.operator,
knowledge.vis.operator.distortion,
knowledge.vis.operator.distortion.BifocalDistortion,4461
knowledge.vis.operator.distortion.Distortion,6314
knowledge.vis.operator.distortion.FisheyeDistortion,3444
knowledge.vis.operator.encoder,
knowledge.vis.operator.encoder.ColorEncoder,3179
knowledge.vis.operator.encoder.Encoder,4060
knowledge.vis.operator.encoder.PropertyEncoder,4138
knowledge.vis.operator.encoder.ShapeEncoder,1690
knowledge.vis.operator.encoder.SizeEncoder,1830
knowledge.vis.operator.filter,
knowledge.vis.operator.filter.FisheyeTreeFilter,5219
knowledge.vis.operator.filter.GraphDistanceFilter,3165
knowledge.vis.operator.filter.VisibilityFilter,3509
knowledge.vis.operator.IOperator,1286
knowledge.vis.operator.label,
knowledge.vis.operator.label.Labeler,9956
knowledge.vis.operator.label.RadialLabeler,3899
knowledge.vis.operator.label.StackedAreaLabeler,3202
knowledge.vis.operator.layout,
knowledge.vis.operator.layout.AxisLayout,6725
knowledge.vis.operator.layout.BundledEdgeRouter,3727
knowledge.vis.operator.layout.CircleLayout,9317
knowledge.vis.operator.layout.CirclePackingLayout,12003
knowledge.vis.operator.layout.DendrogramLayout,4853
knowledge.vis.operator.layout.ForceDirectedLayout,8411
knowledge.vis.operator.layout.IcicleTreeLayout,4864
knowledge.vis.operator.layout.IndentedTreeLayout,3174
knowledge.vis.operator.layout.Layout,7881
knowledge.vis.operator.layout.NodeLinkTreeLayout,12870
knowledge.vis.operator.layout.PieLayout,2728
knowledge.vis.operator.layout.RadialTreeLayout,12348
knowledge.vis.operator.layout.RandomLayout,870
knowledge.vis.operator.layout.StackedAreaLayout,9121
knowledge.vis.operator.layout.TreeMapLayout,9191
knowledge.vis.operator.Operator,2490
knowledge.vis.operator.OperatorList,5248
knowledge.vis.operator.OperatorSequence,4190
knowledge.vis.operator.OperatorSwitch,2581
knowledge.vis.operator.SortOperator,2023
knowledge.vis.Visualization,16540
